ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,Job Level,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,Medium,Sales Executive,Very High,Single,5993,8,Y,Yes,11,Excellent,Low,None,8,0,Bad,6,4,0,5
2,49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,High,Male,61,Medium,Medium,Research Scientist,Medium,Married,5130,1,Y,No,23,Outstanding,Very High,Low,10,3,Better,10,7,1,7
3,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,Very High,Male,92,Medium,Low,Laboratory Technician,High,Single,2090,6,Y,Yes,15,Excellent,Medium,None,7,3,Better,0,0,0,0
4,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,Low,Research Scientist,High,Married,2909,1,Y,Yes,11,Excellent,High,None,8,3,Better,8,7,3,0
5,27,No,Travel_Rarely,591,Research & Development,2,Below College,Medical,Low,Male,40,High,Low,Laboratory Technician,Medium,Married,3468,9,Y,No,12,Excellent,Very High,Low,6,3,Better,2,2,2,2
6,32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,Very High,Male,79,High,Low,Laboratory Technician,Very High,Single,3068,0,Y,No,13,Excellent,High,None,8,2,Good,7,7,3,6
7,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,High,Female,81,Very High,Low,Laboratory Technician,Low,Married,2670,4,Y,Yes,20,Outstanding,Low,High,12,3,Good,1,0,0,0
8,30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,Very High,Male,67,High,Low,Laboratory Technician,High,Divorced,2693,1,Y,No,22,Outstanding,Medium,Low,1,2,Better,1,0,0,0
9,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,Very High,Male,44,Medium,High,Manufacturing Director,High,Single,9526,0,Y,No,21,Outstanding,Medium,None,10,2,Better,9,7,1,8
10,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,High,Male,94,High,Medium,Healthcare Representative,High,Married,5237,6,Y,No,13,Excellent,Medium,Medium,17,3,Good,7,7,7,7
11,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,Low,Male,84,Very High,Low,Laboratory Technician,Medium,Married,2426,0,Y,No,13,Excellent,High,Low,6,5,Better,5,4,0,3
12,29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,Very High,Female,49,Medium,Medium,Laboratory Technician,High,Single,4193,0,Y,Yes,12,Excellent,Very High,None,10,3,Better,9,5,0,8
13,31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,Low,Male,31,High,Low,Research Scientist,High,Divorced,2911,1,Y,No,17,Excellent,Very High,Low,5,1,Good,5,2,4,3
14,34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,Medium,Male,93,High,Low,Laboratory Technician,Very High,Divorced,2661,0,Y,No,11,Excellent,High,Low,3,2,Better,2,2,1,2
15,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,High,Male,50,Medium,Low,Laboratory Technician,High,Single,2028,5,Y,Yes,14,Excellent,Medium,None,6,4,Better,4,2,0,3
16,29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,Medium,Female,51,Very High,High,Manufacturing Director,Low,Divorced,9980,1,Y,No,11,Excellent,High,Low,10,1,Better,10,9,8,8
17,32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Low,Male,80,Very High,Low,Research Scientist,Medium,Divorced,3298,0,Y,Yes,12,Excellent,Very High,Medium,7,5,Good,6,2,0,5
18,22,No,Non-Travel,1123,Research & Development,16,College,Medical,Very High,Male,96,Very High,Low,Laboratory Technician,Very High,Divorced,2935,1,Y,Yes,13,Excellent,Medium,Medium,1,2,Good,1,0,0,0
19,53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,Low,Female,78,Medium,Very High,Manager,Very High,Married,15427,2,Y,No,16,Excellent,High,None,31,3,Better,25,8,3,7
20,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Very High,Male,45,High,Low,Research Scientist,Very High,Single,3944,5,Y,Yes,11,Excellent,High,None,6,3,Better,3,2,1,2
21,24,No,Non-Travel,673,Research & Development,11,College,Other,Low,Female,96,Very High,Medium,Manufacturing Director,High,Divorced,4011,0,Y,No,18,Excellent,Very High,Low,5,5,Good,4,2,1,3
22,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,82,Medium,Low,Sales Representative,Low,Single,3407,7,Y,No,23,Outstanding,Medium,None,10,4,Better,5,3,0,3
